JournalId,NormalizedName,Issn,num_journal_publication,num_journal_author,num_journal_affiliation,journal_year_first_publish,journal_avg_hindex,journal_avg_first_author_hindex,journal_avg_last_author_hindex,journal_avg_middle_author_hindex,total_num_journal_reference,total_num_journal_cited,journal_paper_reference_num,journal_paper_cited_num,journal_journal_reference_num,journal_journal_cited_num,journal_num_author_referenced,journal_num_author_cited,journal_num_affiliation_referenced,journal_num_affiliation_cited,journal_num_journal_self_reference,journal_num_author_self_reference,journal_num_affiliation_self_reference,journal_num_journal_self_cited,journal_num_author_self_cited,journal_num_affiliation_self_cited
161399637,cellular physiology and biochemistry,1015-8987,5954,24816,24816,1991,10.04675673256743,5.605793450881612,15.583137386630836,6.99332496797758,203586,130983,4696,5822,5085,5118,536200,430505,5809,5929,2741,3253,2935,2694,3383,3170
47727624,international ophthalmology,0165-5701,4193,12322,12322,1978,7.421600215001431,5.557527733755943,8.626281898402098,5.254642961788916,90757,37025,4104,3375,3713,2853,166566,84772,3947,3380,897,1445,1200,850,916,769
160779208,journal of applied probability,0021-9002,5390,5327,5327,1964,6.816620611084853,6.514821865651347,4.815398886827459,8.120551724137933,62899,113631,5283,4917,1524,3604,27734,74518,1970,4431,3103,2469,748,2436,2367,709
22232893,nature reviews neurology,1759-4758,2931,3786,3786,2005,23.631600689268208,20.50951293759513,25.391675196178777,28.74794774556407,106349,114934,2803,2150,3921,5897,297086,345246,5152,6364,525,1386,1233,486,990,912
200416800,clinical epigenetics,1868-7075,1283,9668,9668,2010,20.884198946407306,8.004280821917808,31.02416212003118,19.85678270581207,75719,26667,1265,1138,3606,2745,255591,100694,4758,3792,603,1134,1125,547,771,773
194129668,bird conservation international,0959-2709,1103,3270,3270,1991,7.9542331602124365,6.1408629441624365,8.543970988213962,5.709412243905492,27288,15812,977,1020,1217,1095,36119,30532,2289,2398,539,665,446,493,674,514
177423656,thermal science,0354-9836,4416,7647,7647,2000,7.385275888630431,5.780711825487945,5.761096014492754,4.455007369963372,42816,24812,2966,3033,2885,1804,67337,41224,3874,3235,1295,1220,1058,1324,1257,1004
2764844316,journal of the fuel society of japan,0369-3775,2361,32,32,1922,3.1091954230002616,3.1482254697286014,0.7729775518847946,1.0407443597594075,36,1256,17,471,13,240,74,2498,6,353,0,0,0,0,106,4
126033908,cancer,0008-543X,43511,126451,126451,1948,10.439980801912107,8.199484646768306,12.523775596975478,8.555081997058823,1046752,2427061,41903,41210,7558,13529,1075211,2548693,6956,11219,32450,24014,23526,26767,22192,23669
39332106,journal of food products marketing,1045-4446,778,1521,1521,1992,5.82221642537281,5.137417218543046,4.70694087403599,5.550799916457811,20761,6765,701,662,2031,1071,26312,12592,2514,1811,220,316,254,254,217,179
113166945,history of european ideas,0191-6599,4115,1165,1165,1980,3.8806053811659194,3.8518099547511313,1.6636695018226002,2.630952380952381,13200,6723,1331,1342,1104,1143,11768,5648,568,913,117,180,100,147,203,147
54816476,medical education,0308-0110,8603,12438,12438,1971,8.320720420011636,7.034289482360699,7.507729861676159,6.050369372906201,97342,206465,6714,7048,4277,7623,102019,230138,4111,7051,4817,2952,2648,4394,2992,2841
96371286,developmental neurorehabilitation,1751-8423,818,2549,2549,2005,12.00816705003308,9.11126961483595,13.43398533007335,11.180984711357521,29930,12043,801,706,2407,1667,55023,27079,2857,2460,314,623,622,266,476,465
102309489,library & archival security,0196-0075,320,100,100,1975,1.9788732394366197,2.064516129032258,0.384375,0.09090909090909091,806,563,88,176,164,121,907,551,116,183,35,5,4,70,6,4
2764949919,chinese journal of population resources and environment,1004-2857,764,1515,1515,1992,4.50835303388495,4.604938271604938,1.3363874345549738,1.0542165141918836,7750,1928,600,481,1537,502,15720,5098,2002,973,32,65,113,44,47,80
203441484,probability in the engineering and informational sciences,0269-9648,1334,1624,1624,1987,9.623600668337513,8.276173285198556,9.172413793103448,8.308291245791246,22093,15266,1312,1084,1099,1099,15599,13413,1692,1959,560,860,644,483,699,592
106045766,educational media international,0952-3987,1513,1326,1326,1971,4.854070476190476,4.23400365630713,1.8175809649702577,4.281560502989075,13537,12540,816,824,1633,1619,16410,19694,1543,2367,163,292,191,199,229,155
126319040,communication teacher,1740-4622,696,779,779,2002,4.200518341307815,4.20460358056266,2.285919540229885,2.446568627450981,5069,1591,648,428,971,411,6815,2435,932,657,146,70,42,207,48,25
7005137,oral history review,0094-0798,2175,317,317,1973,3.484573894282632,3.281198003327787,1.0036781609195402,4.7559523809523805,4514,3142,241,502,834,834,11549,3688,1098,780,99,48,17,132,43,12
111106147,purinergic signalling,1573-9538,909,2869,2869,2004,20.75408830359661,15.055693069306932,27.31133113311331,13.869964319662857,55542,20490,774,746,2588,2027,108784,47568,3071,2614,482,714,673,465,541,519
173564668,the liverpool law review,0144-932X,616,375,375,1979,2.984018264840183,2.968421052631579,1.3327922077922079,3.488888888888889,6291,1096,389,275,1242,411,7420,1518,846,430,45,94,60,58,57,49
146976949,journal of economic entomology,0022-0493,31720,15025,15025,1908,4.9849174870009,3.9208735882432983,3.255296343001261,4.098115917730106,196034,372755,6682,25878,4016,4935,184598,265811,4703,5810,5970,5356,5143,9373,7987,9042
4082524,social work in health care,0098-1389,2031,3110,3110,1975,5.60494248236812,5.100826446280991,3.840965041851305,4.176364297861254,41017,26262,1456,1791,3493,3561,75811,56714,3325,3689,649,607,635,781,534,551
171720814,international journal of technology management,0267-5730,3270,2214,2214,1970,6.9061948503125015,6.791017964071856,3.762079510703364,3.5958166551644815,34234,35575,1187,2009,2296,2927,31106,45789,2464,3727,315,526,359,447,691,488
70307536,journal of microbiology and biotechnology,1017-7825,5784,6446,6446,1987,7.1022028400211346,3.596242774566474,9.006224066390041,4.413610820519237,41834,65885,1405,5120,3463,4338,131397,196959,4481,5774,548,922,805,970,2487,1848
